III.L
3IN.L
ASL.L
AGS.L
AFR.L
ABG.L
ATST.L
AML.L
AIE.L
AQP.L
AHT.L
ATK.L
AVV.L
AVM.L
AZEM.L
BBY.L
BGEO.L
BNKR.L
BAG.L
BDEV.L
BBA.L
BEZ.L
BWY.L
BRSN.L
BKG.L
BET.L
BHGG.L
BHGU.L
BHME.L
BHMG.L
BHMU.L
BYG.L
BRWM.L
BABS.L
BOY.L
BOK.L
BVS.L
BRW.L
BSET.L
BTEM.L
BVIC.L
BWNG.L
BTG.L
BUMI.L
BPTY.L
CWC.L
CNE.L
CLDN.L
CIU.L
CAPC.L
CLLN.L
CPR.L
CGL.L
CEY.L
CHG.L
CTY.L
CBG.L
COB.L
COLT.L
CCC.L
CKSN.L
CWK.L
CSR.L
DJAN.L
DCG.L
DLAR.L
DEB.L
DPH.L
DLN.L
DVO.L
DAB.L
DIA.L
DTY.L
DPLM.L
DXNS.L
DNO.L
DOM.L
DRX.L
DNLM.L
EZJ.L
EFM.L
EDIN.L
ELTA.L
ECM.L
ELM.L
ENQ.L
ESSR.L
ERM.L
FCAM.L
FCPT.L
FENR.L
FXPO.L
FCSS.L
FEV.L
FDSA.L
FLTR.L
FGP.L
FRCL.L
GFRD.L
GEMD.L
GSS.L
GNS.L
GOG.L
GRI.L
GPOR.L
GNK.L
GRG.L
HFD.L
HLMA.L
HSTN.L
HAS.L
HGG.L
HRI.L
HOIL.L
HICL.L
HIK.L
HSX.L
HOC.L
HOME.L
HSV.L
HWDN.L
HTG.L
IGG.L
IMG.L
INCH.L
INF.L
ISAT.L
ICP.L
IPF.L
INPP.L
IRV.L
ISYS.L
INVP.L
IPO.L
ITE.L
JLT.L
JD.L
JLIF.L
JAM.L
JAI.L
JMG.L
JII.L
JUP.L
KCOM.L
KMR.L
KENZ.L
KIE.L
LAD.L
LRD.L
LRE.L
LWDB.L
LOG.L
LSP.L
LSE.L
LMI.L
EMG.L
MARS.L
MRO.L
MNZS.L
MRC.L
MRCH.L
MPI.L
MCRO.L
MLC.L
MAB.L
MTO.L
MNDI.L
MONY.L
MNKS.L
MGCR.L
MUT.L
MYI.L
NEX.L
NBLS.L
NWR.L
NMC.L
OCDO.L
OPHR.L
OXIG.L
PAG.L
PAY.L
PER.L
PLI.L
PSN.L
PNL.L
PDL.L
POG.L
PHNX.L
PCT.L
PFL.L
PMO.L
PFG.L
PZC.L
QQ.L
RNK.L
RAT.L
RUS.L
RDW.L
RGU.L
RSW.L
RTO.L
RTN.L
RMV.L
RCP.L
ROR.L
RPC.L
RPS.L
RPO.L
SMDR.L
SVS.L
SCIN.L
SMT.L
SDL.L
SGRO.L
SNR.L
SHB.L
SKS.L
SHI.L
SMDS.L
SIA.L
SXS.L
SPX.L
SPT.L
SPD.L
STJ.L
SGC.L
STOB.L
SVI.L
SYR.L
TALK.L
TALV.L
TW.L
TED.L
TCY.L
TEP.L
TMPL.L
TEM.L
TRY.L
TRYS.L
TPK.L
TT.L
TLPR.L
UBM.L
UKCM.L
ULE.L
UEM.L
VCT.L
JDW.L
SMWH.L
WMH.L
WTAN.L
WG.L
WWH.L
YULC.L
